		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
36	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.45	0.4	0.5	0.65	0.4	0.3	0.4	0.2	0.5	0.45	0.1	0.4	0.3	0.2	0.2	0.4
37	0.05	0.1	0.1	0.05	0.05	0.05	0.05	0.1	0.1	0	0	0.05	0.05	0.05	0.05	0.1	0.1	0.2	0.1	0.25	0.2	0.3	0.2	0.2	0.1	0.05	0.2	0.05	0.2	0.2	0.2	0.1	0.2	0.2
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0.2	0.05	0.05	0.2	0.05	0.05	0.05	0.05	0.1	0.05	0.1	0	0.05	0.2	0.2
39	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0.05	0.05	0.2	0.2	0.25	0.3	0.2	0.3	0.2	0.2	0.25	0.3	0.2	0.25	0.3	0.25	0.25	0.25	0.4
40	0.2	0.2	0.2	0.4	0.45	0.45	0.45	0.5	0.6	0.2	0.2	0.3	0.4	0.45	0.45	0.5	0.6	0.4	0.5	0.6	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.4	0.4	0.45	0.6	0.4	0.6	0.6
41	0	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0.1	0	0.05	0.05	0.1	0.1	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
42	0	0	0	0	0.05	0.2	0.2	0.2	0.2	0	0	0	0.05	0.2	0.2	0.2	0.2	0.25	0.4	0.3	0.2	0.4	0.3	0.25	0.2	0.4	0.2	0.4	0.3	0.3	0.2	0.2	0.45	0.3
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05
44	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0.05	0.05	0.05	0.1	0.05	0.05	0.2	0.05	0.05	0	0.05	0.05	0	0.05	0.2	0.1	0	0.05
45	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.4	0.2	0.2	0.2	0.2	0.25	0.25	0.25	0.4	0.4	0.25	0.4	0.4	0.25	0.4	0.45	0.25	0.4	0.45	0.45	0.3	0.25	0.4	0.4
46	0.2	0.2	0.2	0.25	0.4	0.45	0.45	0.45	0.45	0.1	0.2	0.2	0.4	0.4	0.4	0.4	0.45	0.4	0.4	0.5	0.4	0.25	0.5	0.4	0.45	0.5	0.4	0.45	0.45	0.4	0.4	0.3	0.4	0.25
47	0.1	0.2	0.05	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.4	0.4	0.25	0.4	0.5	0.25	0.2	0.2	0.25	0.2	0.3	0.4	0.45	0.4	0.4	0.4
48	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.05	0.3	0.2	0.2	0.3	0.2	0.05	0.2	0.2	0.2	0.4	0.2	0.2	0	0.1	0.1	0.2
49	0	0.05	0.1	0.2	0.4	0.5	0.6	0.6	0.6	0	0.05	0.2	0.4	0.5	0.6	0.6	0.6	0.4	0.3	0.4	0.45	0.45	0.6	0.4	0.5	0.6	0.45	0.5	0.8	0.6	0.6	0.6	0.6	0.6
50	0	0.1	0.1	0.1	0.1	0.1	0	0.2	0.2	0	0	0.05	0.1	0	0.05	0.2	0.2	0.05	0	0.2	0.2	0.05	0.2	0.05	0.1	0.2	0.2	0.05	0.2	0.2	0.2	0.25	0.3	0.1
51	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.2	0.1	0.2	0.2	0.25	0.1	0.2	0.25	0.3	0.25	0.25	0.4	0.4
52	0	0	0	0	0	0	0.05	0.05	0.1	0	0	0	0	0	0.05	0.05	0.05	0.2	0.25	0.25	0.2	0.25	0.4	0.2	0.1	0.25	0.2	0.1	0.4	0.25	0.3	0.4	0.5	0.45
53	0.4	0.3	0.4	0.25	0.4	0.4	0.4	0.4	0.4	0.3	0.4	0.2	0.3	0.4	0.4	0.4	0.4	0.6	0.4	0.6	0.6	0.6	0.6	0.6	0.4	0.6	0.6	0.4	0.6	0.7	0.6	0.45	0.4	0.4
54	0.25	0.3	0.3	0.3	0.4	0.25	0.3	0.4	0.4	0.2	0.25	0.3	0.45	0.2	0.3	0.3	0.4	0.25	0.25	0.25	0.4	0.25	0.2	0.25	0.4	0.25	0.4	0.25	0.25	0.2	0.2	0.2	0.25	0.2
55	0.1	0.05	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0	0	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.2	0.05	0	0.2	0.1	0.05	0.2	0.2	0.3	0.2	0.2
56	0	0	0	0.05	0.05	0.1	0.2	0.2	0.2	0	0	0	0.05	0.1	0.2	0.2	0.2	0.2	0.45	0.2	0.4	0.6	0.25	0.2	0.2	0.05	0.4	0.2	0.05	0.2	0.2	0.2	0.2	0.05
57	0	0.05	0.05	0.1	0.1	0.1	0.2	0.1	0.2	0	0	0.05	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.25	0.2	0.2
58	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.4	0.2	0.25	0.4	0.2	0.25	0.2	0.2	0.3	0.2	0.25	0.2	0.2	0.2	0.2
59	0.2	0.2	0.05	0.05	0.05	0.2	0.2	0.2	0.3	0.1	0.05	0	0.2	0.2	0.2	0.2	0.4	0.5	0.6	0.6	0.4	0.6	0.4	0.5	0.5	0.4	0.4	0.6	0.4	0.4	0.2	0.3	0.4	0.4
60	0.05	0	0.05	0.1	0.1	0.1	0.2	0.2	0.2	0	0.05	0	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.25	0.2	0.2	0.2	0.3	0.4	0.25	0.3	0.25	0.3	0.4	0.4	0.3	0.4
61	0	0	0	0.05	0.05	0.05	0	0	0	0	0	0	0.05	0.05	0	0	0.05	0.4	0.2	0.2	0.4	0.2	0.2	0.4	0.2	0.1	0.4	0.2	0.2	0.2	0.2	0.05	0.1	0.2
62	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.4	0.3	0.4	0.4	0.25	0.4	0.4	0.05	0.2	0.4	0.1	0.2	0.2	0.4	0.4	0.4	0.2
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.1	0.2	0.4	0.2	0.25	0.2	0.2	0.2	0.4	0.25	0.25	0.3	0.25	0.25	0.1	0.2
64	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.4	0.4	0.2	0.4	0.4	0.2	0.25	0.4	0.2	0.25	0.4	0.45	0.5	0.6	0.4	0.4
65	0	0	0.05	0.1	0.2	0.2	0.2	0.25	0.2	0	0.05	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.05	0.2	0.25	0.05	0.4	0.1	0.2	0.2	0.05	0.05	0.2	0.3	0.25	0.2	0.25	0.25
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0	0.2	0.1	0	0.1	0.2	0.2	0.2	0.1
67	0	0.05	0.05	0.05	0.1	0.1	0.25	0.2	0.25	0	0.05	0.05	0.05	0.1	0.05	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.05	0.05	0.2	0.2	0.2	0.2	0.2	0.2	0.25	0.2
68	0.05	0.2	0.25	0.25	0.3	0.4	0.4	0.4	0.4	0.05	0.2	0.25	0.2	0.3	0.4	0.4	0.25	0.5	0.3	0.4	0.4	0.4	0.4	0.5	0.6	0.4	0.4	0.5	0.4	0.4	0.4	0.4	0.4	0.5
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.25	0.2	0.2	0.25	0.2	0.2	0.1	0.2	0.2	0.05	0.1	0.2	0.1	0.1	0.2
70	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0.05	0.05	0	0	0.1	0.2	0.3	0.25	0.4	0.4	0.1	0.2	0.05	0.25	0.2	0.2	0.2	0.05	0.25	0.25	0.3
71	0	0	0	0	0	0.2	0.2	0.2	0.2	0	0	0	0	0.2	0.2	0.2	0.2	0.4	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.25	0.6	0.4	0.2	0.45	0.25	0.4	0.4	0.4
72	0	0	0	0	0	0	0.05	0.1	0.1	0	0	0	0	0	0.05	0.05	0.1	0.2	0.1	0.2	0.2	0.2	0.25	0.2	0.2	0.25	0.2	0.2	0.4	0.4	0.2	0.2	0.25	0.4
73	0	0	0.05	0.05	0.05	0.05	0.1	0.2	0.2	0	0.05	0.05	0.05	0.05	0.1	0.1	0.2	0.25	0.25	0.2	0.4	0.25	0.2	0.25	0.2	0.25	0.4	0.2	0.2	0.2	0.1	0.2	0.2	0.1
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.4	0.2	0.4	0.4	0.25	0.3	0.3	0.4	0.4	0.4	0.4	0.25	0.25	0.3	0.2	0.25
75	0	0	0	0.05	0.05	0.1	0.2	0.05	0.05	0.2	0.05	0	0.1	0.2	0.2	0.2	0.05	0.1	0.2	0.2	0.2	0.2	0.3	0.1	0	0.2	0.2	0	0.2	0.2	0.2	0.2	0.2	0.3
all	0.139333333	0.134666667	0.162666667	0.176666667	0.193333333	0.208	0.218666667	0.224	0.24	0.143333333	0.15	0.178666667	0.185333333	0.202666667	0.214	0.224666667	0.232	0.277333333	0.296666667	0.313333333	0.315333333	0.317333333	0.336	0.277333333	0.292	0.287333333	0.310666667	0.293333333	0.296666667	0.297333333	0.314666667	0.297333333	0.312666667	0.32
