		kNearest_keepEdges								kNearest_removeEdges								kSpan_average_keepEdges			kSpan_average_removeEdges			kSpan_minimum_keepEdges			kSpan_minimum_removeEdges							
50	0	0.12	0.12	0.12	0.2	0.2	0.2	0.12	0.2	0	0	0.12	0.2	0.2	0.2	0.2	0.12	0.04	0.2	0.2	0.24	0.32	0.2	0.04	0.2	0.2	0.24	0.2	0.24	0.2	0.24	0.32	0.24	0.2
51	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.2	0.24	0.24	0.2	0.32	0.24	0.2	0.24	0.24	0.2	0.32	0.24	0.24	0.24	0.24	0.24	0.24
52	0	0.04	0.04	0.2	0.32	0.4	0.44	0.44	0.52	0	0.04	0.2	0.32	0.4	0.4	0.4	0.52	0.4	0.32	0.52	0.4	0.32	0.4	0.4	0.32	0.4	0.4	0.32	0.4	0.52	0.52	0.52	0.52	0.52
53	0.4	0.32	0.4	0.2	0.32	0.32	0.32	0.32	0.32	0.32	0.4	0.32	0.32	0.24	0.32	0.32	0.32	0.44	0.52	0.52	0.52	0.6	0.44	0.44	0.52	0.44	0.52	0.52	0.44	0.52	0.44	0.4	0.4	0.4
54	0.44	0.44	0.44	0.44	0.4	0.4	0.4	0.4	0.4	0.52	0.44	0.52	0.4	0.4	0.32	0.4	0.4	0.2	0.24	0.24	0.2	0.24	0.2	0.2	0.32	0.32	0.2	0.4	0.32	0.4	0.32	0.24	0.32	0.32
55	0.12	0.2	0.12	0.2	0.2	0.2	0.2	0.2	0.4	0.12	0.12	0.2	0.2	0.2	0.24	0.2	0.32	0.2	0.2	0.32	0.2	0.2	0.32	0.2	0.2	0.12	0.2	0.24	0.2	0.2	0.32	0.24	0.4	0.4
56	0.12	0	0.2	0.2	0.12	0.12	0.24	0.12	0.2	0	0.12	0.12	0.12	0.2	0.2	0.2	0.24	0.32	0.6	0.52	0.32	0.6	0.6	0.32	0.24	0.24	0.32	0.24	0.24	0.32	0.4	0.4	0.32	0.32
57	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0	0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.12	0.12	0.2	0.12	0.12	0.2	0.12	0.2	0.2	0.2	0.24	0.24	0.2	0.2
58	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.2	0.24	0.12	0.12	0.12	0.12	0.12	0.2	0.2	0.24	0.2	0.24	0.2	0.24	0.24	0.24	0.2	0.12	0.2	0.24	0.2	0.2	0.12	0.12	0.12	0.12	0.12
59	0.24	0.2	0.32	0.24	0.32	0.32	0.32	0.32	0.32	0.12	0.32	0.2	0.24	0.32	0.32	0.32	0.32	0.4	0.44	0.52	0.4	0.4	0.4	0.4	0.44	0.32	0.4	0.52	0.4	0.32	0.32	0.32	0.4	0.44
60	0.04	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0	0.12	0.12	0.12	0.2	0.2	0.2	0.2	0.2	0.24	0.32	0.2	0.24	0.24	0.2	0.24	0.32	0.2	0.32	0.24	0.24	0.2	0.2	0.24	0.24
61	0	0	0.04	0.04	0.04	0.04	0.12	0.12	0.12	0	0	0.04	0.04	0.04	0.04	0.12	0.12	0.24	0.2	0.2	0.32	0.2	0.32	0.24	0.12	0.12	0.32	0.12	0.12	0.24	0.24	0.12	0.2	0.2
